月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
4,中旬,1010.7,1013.1,60.0,50.0,41.5,12.5,20.3,23.8,16.4,26.0,11.7,81,42,3.6,10.0,北西,17.5,北西,53.4,16.7,,,,,0,2,0
4,下旬,1010.1,1012.5,6.5,5.5,5.5,3.0,22.5,25.7,19.7,27.7,14.6,83,60,3.6,7.3,南西,11.3,東,57.4,19.4,,,,,0 ),1 ),0 ]
5,上旬,1010.1,1012.5,116.5,47.5,27.0,9.5,23.3,25.9,20.3,28.3,13.4,88,55,3.8,9.1,南南西,15.9,北西,34.6,15.1,,,,,0,2,2
5,中旬,1012.0,1014.3,136.5,60.0,30.5,11.0,25.0,27.8,22.7,31.0,19.8,92,76,3.9,9.1,北,18.2,北,58.1,19.7,,,,,0,0,1
5,下旬,1008.8,1011.2,186.5,77.0,46.0,19.0,25.2,27.7,22.6,30.6,18.1,87,58,4.3,10.2,北西,17.0,北北西,47.8,16.0,,,,,0 ),0 ),2
6,上旬,1007.4,1009.8,55.5,26.0,7.5,2.5,25.4,28.1,23.0,30.9,17.9,90,48,3.6,9.3,南,13.7,南南西,63.3,19.4,,,,,0,2,2
6,中旬,1011.5,1013.8,0.0,0.0,0.0,0.0,28.5,31.4,26.3,32.1,24.6,87,64,3.3,6.4,南西,9.3,南,112.3,26.9,,,,,0 ),0 ),0 )
6,下旬,1008.4,1010.7,7.0,4.0,3.5,2.5,28.4,32.5,24.7,33.4,22.8,83,52,1.9,6.2,東北東,10.0,東北東,96.4,23.3,,,,,0 ),0 ),1
7,上旬,1006.0,1008.3,26.5,8.5,8.5,6.5,28.3,31.2,25.7,32.2,24.0,82,56,3.0,10.3,南南東,18.8,南南東,59.6,17.0,,,,,0,0,2
7,中旬,1005.2,1007.5,199.0,121.0,64.5,12.0,28.4,31.2,25.6,32.3,24.4,88,71,4.3,11.9,南,19.4,西,59.2,17.3,,,,,0 ],0 ],4
7,下旬,999.7,1002.0,713.5,312.5,44.5,19.5,27.6,29.5,25.7,31.4,24.9,93,68,5.9,13.3,東,26.2,東,25.2,10.3,,,,,0 ),0 ),5
8,上旬,1006.5,1008.8,20.0,10.0,10.0,4.5,28.5,31.5,25.9,31.9,24.8,89,72,3.2,7.3,南西,12.5,南南西,90.3,23.9,,,,,0 ),0 ),0
8,中旬,1011.0,1013.3,16.0,8.5,5.5,3.0,29.0,31.9,26.5,32.7,23.6,83,67,4.1,7.4,東南東,12.0,東北東,92.4,23.8,,,,,0 ),0 ),2
8,下旬,1010.5,1012.8,27.0,12.0,6.5,4.5,28.6,32.0,25.3,32.3,24.0,85,58,2.8,8.6,東北東,15.3,東北東,93.0,21.6,,,,,0 ],0 ],2 )
9,上旬,1008.6,1011.0,9.5,3.5,2.0,2.0,28.8,32.0,26.0,33.1,23.6,83,60,3.2,7.9,西南西,12.0,西南西,86.0,20.8,,,,,0,0,0
9,中旬,1011.8,1014.1,41.0,34.0,24.5,9.5,28.7,32.5,24.9,33.0,23.5,81,62,2.7,6.7,南,12.8,南,83.9,20.1,,,,,0 ),0 ),1
9,下旬,1011.7,1014.0,6.5,2.5,2.5,2.0,28.7,32.2,25.3,32.6,22.5,78,52,3.1,7.9,東,12.5,東,98.1,21.4,,,,,0 ),0 ),0
10,上旬,1009.7,1012.0,76.5,70.0,29.5,11.5,28.6,32.4,25.2,33.1,22.6,80,57,3.4,19.5,南南西,28.2,南西,72.0,16.6,,,,,0,0,2
10,中旬,1011.8,1014.1,53.0,52.0,20.5,6.5,28.2,31.2,25.5,31.8,23.3,82,63,4.2,13.3,南西,21.6,南西,77.8,16.5,,,,,0 ),0 ),1
10,下旬,1011.6,1013.9,41.0,19.0,14.5,7.0,26.5,29.2,24.1,30.9,22.0,78,48,4.1,9.2,北東,16.9,東北東,46.8,11.8,,,,,0,0,0
11,上旬,1012.8,1015.2,24.5,12.0,6.0,2.0,25.2,28.0,22.1,29.8,18.2,74,46,4.7,10.1,北東,17.3,北東,56.1,13.2,,,,,0,0,2
11,中旬,1014.0,1016.4,84.0,38.0,13.5,4.0,24.3,27.1,21.9,29.7,17.7,80,53,5.1,9.4,北北東,16.4,北北東,29.3,9.8,,,,,0 ),0 ),0
11,下旬,1015.9,1018.3,15.0,13.0,5.0,1.5,21.4,24.5,17.6,26.9,13.7,72,46,3.5,8.5,北北東,14.2,北東,45.6,10.3,,,,,0,0,0
12,上旬,1016.3,1018.7,0.0,0.0,0.0,0.0,20.9,24.2,16.6,26.3,12.8,66,37,4.0,9.5,北,18.7,北北西,54.4,11.3,,,,,0 ],0 ],0 )
12,中旬,1016.8,1019.2,30.0,10.5,7.5,3.5,20.7,23.8,17.0,25.9,12.9,72,41,4.1,9.0,北北西,16.4,北北西,35.8,9.4,,,,,0 ),0 ),0 )
12,下旬,1014.2,1016.7,20.5,11.5,4.0,1.5,20.1,22.9,17.2,26.2,10.6,73,39,4.3,9.2,北北西,16.8,北北西,35.5,9.4,,,,,0 ),0 ),0
