月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
5,中旬,1011.0,1013.4,100.0,56.0,19.5,9.0,24.2,26.9,22.0,29.0,20.9,86,59,3.8,7.7,北北東,11.6,東北東,54.9,18.6,,,,,0 ),1 ),2
5,下旬,1008.5,1010.9,53.0,19.5,10.0,3.0,26.6,28.8,24.6,30.4,23.3,91,75,4.3,13.6,東北東,22.7,東北東,49.4,17.2,,,,,0 ],0 ],0
6,上旬,1008.1,1010.5,98.5,47.5,23.0,9.5,25.1,27.7,22.5,29.7,20.3,85,46,3.9,9.2,北東,15.3,北北東,40.4,17.4,,,,,0 ),0 ),1
6,中旬,1007.6,1009.9,58.0,21.0,8.5,8.0,27.3,29.8,25.3,31.2,24.2,93,78,4.8,10.4,南西,19.6,西南西,34.5,16.6,,,,,0,0,1
6,下旬,1011.4,1013.7,3.5,2.0,2.0,2.0,29.2,32.1,26.7,32.9,25.1,85,65,3.9,7.2,南南東,10.0,南南東,117.4,27.4,,,,,0 ),0 ),0
7,上旬,1011.0,1013.3,1.0,1.0,0.5,0.5,30.2,33.8,27.0,34.7,25.1,77,55,3.2,7.1,南南西,10.2,南南西,116.9,27.5,,,,,0 ],0 ],0
7,中旬,1009.9,1012.2,70.0,33.5,27.0,8.5,30.4,33.7,27.6,34.7,25.8,78,57,3.3,8.2,東,11.9,東,105.6,25.6,,,,,0 ),0 ),1
7,下旬,1008.8,1011.1,61.0,31.5,23.5,11.5,29.7,32.4,26.8,33.6,25.3,80,61,5.3,12.4,南,19.4,南南東,84.3,21.3,,,,,0 ),0 ),2
8,上旬,1002.9,1005.2,18.0,7.5,7.5,7.0,29.8,33.3,26.6,34.0,24.4,81,59,3.2,7.8,東,11.6,東,91.5,22.6,,,,,0,0,0 )
8,中旬,1004.7,1007.0,52.0,28.0,19.0,5.5,28.9,32.8,25.6,34.3,24.5,84,55,2.7,12.7,南,20.1,南南西,67.1,18.9,,,,,0 ),0 ),0
8,下旬,1004.7,1007.0,204.0,72.0,26.5,14.0,29.0,31.7,26.2,33.0,24.6,86,66,4.7,13.7,南南西,22.7,南南西,63.9,17.4,,,,,0,0,7
9,上旬,1005.8,1008.1,53.5,12.5,12.0,9.0,28.3,31.9,25.1,32.2,23.5,85,54,3.2,9.7,南東,16.3,南南東,81.0,20.0,,,,,0,0,3
9,中旬,1004.3,1006.6,86.5,35.5,18.0,9.0,28.9,31.0,26.8,32.4,25.2,83,63,7.6,18.4,南東,31.5,南東,55.8,16.7,,,,,0,0,1
9,下旬,1008.0,1010.3,130.5,86.5,62.0,17.5,28.5,31.4,26.3,32.3,22.2,85,67,4.5,11.1,北東,19.5,北北東,66.5,17.8,,,,,0,0,3
10,上旬,1010.5,1012.8,6.5,5.5,5.0,5.0,27.7,30.8,24.8,31.6,21.9,80,55,3.8,7.8,東北東,13.7,東北東,69.5,17.3,,,,,0,0,0 )
10,中旬,1012.4,1014.7,3.0,3.0,2.0,1.0,27.6,30.7,24.5,31.6,19.5,79,51,4.2,9.2,北東,13.3,北東,85.8,18.7,,,,,0 ),0 ),0 )
10,下旬,1009.3,1011.6,7.0,4.5,4.5,3.5,28.3,30.8,26.7,31.2,25.3,82,67,5.5,9.4,東,14.3,南東,82.8,16.5,,,,,0 ),0 ),0
11,上旬,1014.3,1016.6,40.0,36.0,12.0,7.0,26.6,29.1,24.7,31.8,23.6,78,57,5.3,9.9,東北東,14.8,東,41.6,10.9,,,,,0,0,1
11,中旬,1013.2,1015.6,33.0,30.5,24.0,11.0,26.0,28.9,23.5,29.8,21.6,81,57,3.7,8.0,北,13.0,北北東,39.7,11.9,,,,,0 ],0 ],1 ]
11,下旬,1015.3,1017.7,73.0,38.5,14.5,5.0,21.7,24.4,19.3,27.6,13.5,71,43,4.5,9.1,北西,14.3,北西,31.1,9.2,,,,,0 ),0 ),0
12,上旬,1014.5,1016.9,11.5,9.0,3.0,1.0,20.3,23.9,16.2,25.8,10.6,70,45,4.0,11.5,北北東,19.2,北北東,50.2,10.9,,,,,0,0,0
12,中旬,1016.4,1018.8,17.5,12.5,7.5,4.0,18.7,22.4,14.3,24.1,11.0,69,41,3.8,9.6,北,15.8,北北西,42.1,10.3,,,,,0 ),0 ),0 ]
12,下旬,1018.3,1020.8,14.0,9.5,5.5,5.5,18.8,21.6,15.9,25.8,11.2,66,42,4.2,8.9,北北西,15.4,北北西,28.0,8.4,,,,,0,0,0
