月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
5,上旬,11.0,5.0,2.5,1.5,24.0,26.9,22.2,29.3,20.6,///,///,3.7,10.6,南西,14.9,南西,///,///,///,///
5,中旬,79.5,38.5,14.5,3.5,23.9,26.5,22.2,28.4,21.0,///,///,3.3,8.7,北,11.3,北,///,///,///,///
5,下旬,53.5,20.5,12.0,5.0,26.4,28.9,24.6,31.3,23.1,///,///,3.8,13.4,北北東,21.6,北北東,///,///,///,///
6,上旬,96.0,44.0,25.5,10.0,24.9,27.5,22.7,30.6,20.3,///,///,4.2,10.5,北北東,14.9,北北東,///,///,///,///
6,中旬,59.5,23.0,11.0,10.0,27.3,30.1,25.3,31.6,24.1,///,///,5.5,11.0,南西,17.5,南西,///,///,///,///
6,下旬,13.5,10.0,9.0,9.0,29.2,32.0,27.2,32.5,26.4,///,///,3.8,7.6,南南西,10.8,南南西,///,///,///,///
7,上旬,4.0,4.0,3.5,2.5,30.2,33.0,28.1,34.1,27.3,///,///,2.8,7.6,南南西,9.8,南南西,///,///,///,///
7,中旬,25.0,18.5,10.0,6.5,30.3,33.3,28.1,34.1,26.5,///,///,2.8,7.1,北東,10.3,北東,///,///,///,///
7,下旬,55.5,30.5,12.0,9.0,29.5,32.0,27.1,33.6,25.5,///,///,4.1,10.5,南,16.5,南,///,///,///,///
8,上旬,4.5,3.5,2.0,2.0,30.1,33.0,27.7,33.3,26.7,///,///,3.1,7.4,北,9.8,北東,///,///,///,///
8,中旬,37.5,25.0,14.0,4.5,29.5,32.8,27.0,34.3,26.0,///,///,2.6,11.9,南南西,17.0,南,///,///,///,///
8,下旬,200.5,72.0,25.5,16.0,28.8,31.6,26.4,33.0,24.7,///,///,4.5,13.0,南南西,18.5,西南西,///,///,///,///
9,上旬,41.5,11.5,9.0,5.0,28.7,31.7,26.2,32.1,25.4,///,///,2.9,8.8,南東,12.9,南東,///,///,///,///
9,中旬,81.5,35.5,18.5,8.5,28.6,30.4,26.7,32.2,24.9,///,///,6.1,17.3,南東,23.7,南南東,///,///,///,///
9,下旬,122.5,82.0,57.0,19.5,28.3,31.2,26.1,32.7,22.1,///,///,3.8,12.7,北北東,18.5,北東,///,///,///,///
10,上旬,1.5,1.5,1.5,1.5,27.8,30.5,25.9,31.2,23.9,///,///,3.4,7.3,北,11.8,北北東,///,///,///,///
10,中旬,1.5,1.5,1.5,1.0,27.7,30.7,26.0,31.3,22.9,///,///,3.8,8.4,北東,11.8,北東,///,///,///,///
10,下旬,6.5,3.5,3.5,2.5,28.1,30.5,26.4,30.8,25.1,///,///,3.6,7.5,北東,11.3,東南東,///,///,///,///
11,上旬,47.0,27.5,18.0,16.5,26.5,28.7,25.0,31.5,23.5,///,///,5.0,9.5,北,13.4,東北東,///,///,///,///
11,中旬,36.0,33.5,28.0,9.0,26.0,28.7,24.2,29.8,21.8,///,///,3.5,10.4,北,14.4,北,///,///,///,///
11,下旬,71.5,33.5,13.5,4.0,21.8,24.1,20.0,27.7,17.6,///,///,4.8,10.1,北,14.4,西北西,///,///,///,///
12,上旬,16.0,10.0,4.5,1.5,21.1,23.8,18.5,25.5,14.5,///,///,4.8,14.4,北北東,18.5,北北東,///,///,///,///
12,中旬,14.0,12.0,5.0,1.5,19.3,21.9,16.9,23.7,14.3,///,///,4.3,10.9,北北東,14.9,北北東,///,///,///,///
12,下旬,6.5,2.5,1.5,1.5,19.0,21.4,17.0,25.7,15.0,///,///,4.7,9.2,北,13.4,北,///,///,///,///
